oil_index,essential oils,type de soins,propriétés
1,ammi visnaga,santé,
2,balm (lemon),santé,
3,basil (tropical),santé et cosmétique,
4,bay laurel,santé,
5,bay saint-thomas,santé,
6,black pepper,santé,
7,black spruce,santé,
8,cedar of Atlas,santé et cosmétique,
9,chinese cinnamon,santé,
10,cistus,santé,antihémorragique
11,cloves,santé,
12,cypress,santé et cosmétique,
13,eucalyptus (lemon),santé,
14,eucalyptus (radiata),santé,
15,ginger,santé,
16,grapefruit,santé et cosmétique,
17,Greenland Ledon,santé,
18,Hô wood,santé et cosmétique,cicatrisante
19,inula britannica,santé,réduit production de lait
20,italian helichrysum,santé et cosmétique,antihématome
21,juniper,santé et cosmétique,
22,lavandin,santé,
23,lavender (aspic),santé et cosmétique,
24,lavender (common),santé et cosmétique,"antiseptique, antalgique, anti-inflammatoire, apaisante, cicatrisante, "
25,lemon,santé et cosmétique,
26,lemongrass,santé et cosmétique,
27,marjoram,santé,
28,myrrh (bitter),santé,
29,niauli,santé et cosmétique,
30,nutmeg,santé,
31,orange tree (bitter),santé,
32,oregano,santé,
33,palmarosa,santé,
34,pelargonium,santé et cosmétique,
35,peppermint,santé,
36,pistachio mastic,santé,
37,ravintsara,santé,
38,roman chamomile,santé,
39,rose of Damas,santé et cosmétique,
40,rosemary (camphor),santé et cosmétique,anti-douleur musculaire
41,rosemary (cineole),santé et cosmétique,
42,rosemary (verbenone),cosmétique,
43,rosewood,santé et cosmétique,
44,sage (clary),santé,
45,santali,santé,
46,saro,santé,
47,savory,santé,
48,scots pine,santé,
49,sea crests,cosmétique,
50,tarragon,santé,
51,tea tree,santé et cosmétique,antiseptique
52,thyme (saturated),santé,
53,thyme (thujanol),santé et cosmétique,
54,verbena (lemon),santé et cosmétique,
55,wintergreen,santé et cosmétique,"cicatrisante, anti-douleur ostéoarticulaire"
56,ylang-ylang,santé et cosmétique,
