symptom,essential oil
1,24
1,51
2,4
2,23
2,24
2,53
3,20
3,55
4,35
4,53
5,13
5,24
5,35
6,38
6,48
6,50
7,51
8,3
9,19
10,14
10,37
11,29
12,13
12,55
13,23
13,29
13,37
13,51
14,13
14,22
14,55
15,4
15,14
15,37
16,15
16,50
17,4
17,50
17,55
18,10
18,24
19,5
19,41
20,38
20,53
20,54
21,6
21,51
22,13
22,24
22,35
23,24
24,35
24,37
24,43
24,56
25,7
25,48
26,37
26,50
27,12
27,36
27,44
28,24
28,25
28,43
28,51
29,33
29,36
29,51
30,4
30,38
31,11
31,14
31,32
31,51
32,23
32,24
33,3
33,24
33,30
33,35
34,20
34,35
34,36
35,24
36,12
36,36
37,29
38,27
38,35
38,50
39,4
39,14
39,46
40,27
40,35
40,50
41,23
41,24
41,34
41,37
41,38
42,14
42,24
42,25
42,37
43,15
43,39
43,44
43,56
44,3
44,17
44,35
45,4
45,13
45,20
45,22
45,40
46,27
46,44
46,56
47,35
47,50
48,20
48,40
48,55
49,13
49,20
50,14
50,29
51,24
51,27
51,38
51,56
52,13
52,40
52,55
53,23
53,28
53,29
54,12
54,53
55,4
55,40
55,55
56,4
56,40
56,55
57,20
58,20
59,13
59,35
59,40
59,55
60,24
60,27
60,38
61,13
61,27
62,20
62,35
62,36
63,
64,2
64,27
64,31
64,50
64,56
65,20
65,35
65,55
66,27
66,31
67,13
67,23
67,34
67,35
67,51
68,23
69,26
69,34
70,3
70,24
70,35
71,24
71,27
71,38
72,24
73,23
74,20
74,38
75,33
76,6
76,12
76,51
77,11
78,13
78,55
79,13
79,20
79,35
79,40
79,55
80,22
80,40
81,45
81,47
82,12
83,36
84,9
85,20
85,55
86,10
86,20
86,24
86,51
87,29
87,37
